,School,Test Optional?,Applies to Class Year(s),Policy Details,Number of Applicants,Accept Rate,SAT Total 25th-75th Percentile,ACT Total 25th-75th Percentile,STATE
42,WESLEYAN UNIVERSITY,Yes,All / Permanent Policy,Wesleyan University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission. International students will not be required to submit SAT or ACT scores for the 2020-21 admission cycle.,13264,16.5%,1320-1510,31-34,CT
43,HAMILTON COLLEGE,Yes,2021,Hamilton College has adopted a one-year test optional policy for all first-year and transfer applicants in the 2020-21 admission cycle. Hamilton does not offer merit-based aid.,8279,16.5%,1370-1520,32-34,NY
44,NORTHEASTERN UNIVERSITY,Yes,2021,Northeastern University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,62263,18.1%,1390-1540,32-35,MA
45,DAVIDSON COLLEGE,Yes,2021 2022 2023,Davidson has adopted a three-year test optional policy for first-time students beginning with the 2020-21 admission cycle. However homeschooled students and students who attend non-traditional schools are not eligible for test optional admission. After a three-year pilot period Davidson will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,5982,18.1%,1310-1485,30-33,NC
46,EMORY UNIVERSITY,Yes,2021,Emory has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,27559,18.5%,1350-1520,31-34,GA
47,CARLETON COLLEGE,Yes,2021,Carleton College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Carleton College does not offer merit-based aid.,7382,19.0%,1360-1540,31-34,MN
48,GEORGIA INSTITUTE OF TECHNOLOGY,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,36856,20.6%,1300-1510,29-34,
49,WASHINGTON AND LEE UNIVERSITY,Yes,2021,Washington and Lee has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,5855,21.2%,1348-1490,31-34,VA
50,WELLESLEY COLLEGE,Yes,2021,Wellesley College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Wellesley College does not offer merit-based aid.,6395,21.6%,1360-1530,31-34,MA
51,BOSTON UNIVERSITY,Yes,2021,Boston University has adopted a one-year test optional policy for all first year applicants both domestic and international in the 2020-21 admission cycle.,64481,22.1%,1330-1500,30-33,MA
52,COLGATE UNIVERSITY,Yes,2021,Colgate University has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Colgate does not offer merit-based aid.,9951,22.6%,1330-1500,31-34,NY
53,UNIVERSITY OF NORTH CAROLINA—​CHAPEL HILL,Yes,2021,The UNC System has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,42466,22.6%,1300-1490,27-33,
54,UNIVERSITY OF MICHIGAN—​ANN ARBOR,Yes,2021,The University of Michigan has adopted a one-year test optional policy for students applying the 2020-21 admission cycle.,64972,22.9%,1340-1530,31-34,
55,VASSAR COLLEGE,Yes,2021,Vassar College has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle. Vassar College does not offer merit-based aid.,8961,23.7%,1370-1530,31-34,NY
56,RHODE ISLAND SCHOOL OF DESIGN,Yes,All / Permanent Policy,Rhode Island School of Design offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international and homeschooled students are still required to submit test scores.,3913,23.9%,1180-1440,26-32,RI
57,UNIVERSITY OF VIRGINIA,Yes,2021,UVA has adopted a a one-year test optional policy for applicants in the 2020-21 admission cycle.,40839,23.9%,1340-1500,30-34,
58,GRINNELL COLLEGE,Yes,2021,Grinnell has adopted a one-year test optional policy for all first-year students applying in the 2020-21 admission cycle.,7349,24.4%,1370-1530,30-34,IA
59,BABSON COLLEGE,Yes,2021,Babson has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,6362,24.0%,1270-1450,28-32,MA
60,UNIVERSITY OF CALIFORNIA—​IRVINE,Yes (TB),2021 2022 2023 2024,UCI has adopted a four-year test blind policy beginning in the 2020-21 admission cycle. At the end of the four year period they will consider whether to reinstate the testing requirement.,95568,26.5%,1180-1440,--,
61,UNIVERSITY OF MIAMI,Yes,2021,University of Miami has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,38919,27.1%,1280-1420,29-32,FL
62,BOSTON COLLEGE,Yes,2021,Boston College has adopted a one-year test optional policy for the 2020-21 admission cycle.,35552,27.2%,1370-1490,31-34,MA
63,VILLANOVA UNIVERSITY,Yes,2021,Villanova has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,22909,28.2%,1320-1470,31-34,PA
64,UNIVERSITY OF RICHMOND,Yes,2021,University of Richmond has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,12356,28.3%,1290-1460,30-33,VA
65,CALIFORNIA STATE POLYTECHNIC UNIVERSITY—​SAN LUIS OBISPO,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,54072,28.4%,1250-1420,26-32,
66,TRINITY UNIVERSITY,Yes,2021 2022 2023,Trinity University has adopted a three-year test optional policy for first-time international and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period Trinity will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,9864,28.8%,1290-1450,29-32,TX
67,CASE WESTERN RESERVE UNIVERSITY,Yes,2021,Case Western Reserve has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle. Case Western Reserve will determine policies for future classes in winter 2020-21.,26642,29.3%,1350-1520,30-34,OH
68,UNIVERSITY OF ROCHESTER,Yes,All / Permanent Policy,The University of Rochester offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,20216,29.5%,1300-1500,29-33,NY
69,UNIVERSITY OF CALIFORNIA—​SANTA BARBARA,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,93457,29.6%,1260-1460,25-33,
70,WAKE FOREST UNIVERSITY,Yes,All / Permanent Policy,Wake Forest offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,12559,29.6%,1320-1490,30-33,NC
71,SKIDMORE COLLEGE,Yes,All / Permanent Policy,Skidmore College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students and homeschooled students are not eligible for test optional admission.,11102,30.0%,1220-1400,28-32,NY
72,UNIVERSITY OF CALIFORNIA—​SAN DIEGO,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,97901,30.2%,1250-1470,26-33,
73,FRANKLIN AND MARSHALL COLLEGE,Yes,All / Permanent Policy,Franklin and Marshall College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission. Franklin and Marshall does not offer merit-based aid.,9502,30.4%,1250-1460,28-32,PA
74,BRANDEIS UNIVERSITY,Yes,All / Permanent Policy,Brandeis University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,11798,31.1%,1280-1500,29-33,MA
75,LAFAYETTE COLLEGE,Yes,2021,Lafayette College has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,8521,31.5%,1250-1440,28-33,PA
76,AMERICAN UNIVERSITY,Yes,All / Permanent Policy,American University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Homeschooled students are highly encouraged to submit 2 SAT Subject test scores.,18984,31.5%,1220-1380,27-31,DC
77,UNIVERSITY OF TEXAS—​AUSTIN,Yes,2021,The University of Texas--Austin has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,53525,31.8%,1240-1470,27-33,
78,SCRIPPS COLLEGE,Yes,All / Permanent Policy,Scripps offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,3022,32.0%,1333-1490,30-33,CA
79,LEHIGH UNIVERSITY,Yes,2021,Lehigh has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,15649,32.1%,1280-1450,29-33,PA
80,MACALESTER COLLEGE,Yes,All / Permanent Policy,Macalester College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However Macalester recommends that homeschooled students and students who attend high schools that do not provide grades submit SAT or ACT scores.,6598,32.3%,1320-1510,29-33,MN
