,School,Test Optional?,Applies to Class Year(s),Policy Details,Number of Applicants,Accept Rate,SAT Total 25th-75th Percentile,ACT Total 25th-75th Percentile,STATE
250,TEXAS TECH UNIVERSITY,Yes,2021,Texas Tech University has adopted a one-year test optional policy for both domestic and international first-year applicants ientering in the Fall of 2021. It is highly encouraged to submit an SAT/ACT score if an applicant is able to do so in order to qualify for scholarships. It does not require the SAT Essay or ACT Writing Test.,25384,68.9%,1070-1260,22-27,TX
251,OHIO WESLEYAN UNIVERSITY,Yes,All / Permanent Policy,Ohio Wesleyan University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,4705,69.0%,1060-1295,22-28,OH
252,RIPON COLLEGE,Yes,All / Permanent Policy,Ripon College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,2619,69.0%,1000-1210,20-27,WI
253,DREW UNIVERSITY,Yes,All / Permanent Policy,Drew University offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,3788,69.2%,1110-1310,25-30,NJ
254,GUSTAVUS ADOLPHUS COLLEGE,Yes,All / Permanent Policy,Gustavus Adolphus College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,4957,69.2%,--,25-30,MN
255,CENTRAL MICHIGAN,Yes,2021,Central Michigan University has adopted a one-year test optional policy for students entering in 2021. However homeschooled students or students whose high schools do not provide grades are not eligible for TO admission.,16411,69.5%,990-1200,20-26,
256,OKLAHOMA STATE UNIVERSITY,Yes,2021,Oklahoma State University has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. Students applying without test scores must submit essays and other supplemental documents. Test scores are required for most university scholarships.,15277,70.0%,1040-1265,21-28,
257,BRADLEY UNIVERSITY,Yes,All / Permanent Policy,Bradley University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,10708,70.2%,1070-1270,22-28,IL
258,SETON HALL UNIVERSITY,Yes,2021,Seton Hall University has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,19260,70.4%,1150-1310,24-28,NJ
259,BIOLA UNIVERSITY,Yes,2021,Biola University has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,4149,70.5%,1080-1310,21-28,CA
260,URSINUS COLLEGE,Yes,All / Permanent Policy,Ursinus College has a test-optional policy which allows students to be considered for admissions without submitting SAT or ACT scores. However homeschooled applicants and applicants with narrative-style transcripts are not eligible for test optional admission.,3361,70.9%,1140-1320,23-28,PA
261,MONTCLAIR STATE,Yes,All / Permanent Policy,Montclair State offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,14324,70.9%,990-1170,--,
262,CLARKSON UNIVERSITY,Yes,2021,Clarkson University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,6885,71.1%,1160-1350,24-30,NY
263,MICHIGAN STATE UNIVERSITY,Yes,2021,Michigan State has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle. However homeschooled students are not eligible for test optional admission.,44322,71.1%,1100-1320,23-29,MI
264,HOLLINS UNIVERSITY,Yes,2021,Hollins University has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,3244,71.2%,1070-1300,22-30,VA
265,CREIGHTON UNIVERSITY,Yes,All / Permanent Policy,Creighton offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants to the nursing program and homeschooled students are not eligible for test optional admission.,10112,71.4%,1150-1350,24-30,NE
266,CALIFORNIA LUTHERAN UNIVERSITY,Yes,All / Permanent Policy,California Lutheran University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission and test scores are required to qualify for some merit scholarships.,5752,71.5%,1070-1250,21-26,CA
267,UNIVERSITY OF MARY WASHINGTON,Yes,All / Permanent Policy,The University of Mary Washington offers a test optional policy which allows students to petition to be considered for admission without SAT or ACT scores. However students applying for the Pre-Nursing Program or merit based scholarships and homeschooled students are not eligible for test choice.,5909,71.8%,1050-1269,22-29,VA
268,CHRISTOPHER NEWPORT UNIVERSITY,Yes*,All / Permanent Policy,Christopher Newport University requires either the SAT or ACT however they will waive this requirement for students with a 3.5+ GPA or who rank in the top 10% of their class. For students applying in the 2020-21 admission cycle there is no minimum GPA for test optional admission.,7204,71.9%,1110-1280,22-27,VA
269,UNIVERSITY OF CALIFORNIA—MERCED,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,25368,72.0%,980-1180,17-22,
270,MERCER UNIVERSITY,Yes,2021 2022 2023,Mercer University has adopted a three-year test optional policy. After Fall 2023 they will reevaluate.,5454,72.0%,1180-1340,25-30,GA
271,UNIVERSITY OF DAYTON,Yes,2021,The University of Dayton has adopted a test-flexible policy for high school juniors applying for its fall 2021 entering class. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,17462,72.0%,1120-1320,23-29,OH
272,LEWIS & CLARK COLLEGE,Yes,All / Permanent Policy,Lewis and Clark offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Prior to the 2020-21 admission cycle students who chose not to submit standardized test scores had to submit an academic portfolio in lieu of scores. However students will no longer be required to submit a portfolio.,5863,72.2%,1220-1400,27-31,OR
273,HENDRIX COLLEGE,Yes,All / Permanent Policy,Hendrix College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled students and international students who are native speakers of English are not eligible for test optional admission.,1545,72.2%,1153-1390,26-32,AR
274,UNIVERSITY OF RHODE ISLAND,Yes,2021,University of Rhode Island has adopted a one-year test optional policy for applicants to the Spring and Fall 2021 semesters.,21259,72.3%,1012-1345,20-29,RI
275,CALIFORNIA STATE UNIVERSITY--CHICO,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,25908,72.3%,990-1180,18-24,
276,STETSON UNIVERSITY,Yes,All / Permanent Policy,Stetson University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,13005,72.4%,1110-1300,22-29,FL
277,QUINNIPIAC UNIVERSITY,Yes,All / Permanent Policy,Quinnipiac University offers a test optional policy which allows most students applying to the College of Arts and Sciences School of Business School of Communications and School of Engineering to be considered for admission without SAT or ACT scores. Homeschooled students and students playing a Division I sport must provide test scores.,22753,72.5%,1090-1260,23-28,CT
278,DUQUESNE UNIVERSITY,Yes,All / Permanent Policy,Duquesne offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,7411,72.5%,1130-1300,23-28,PA
279,UNIVERSITY OF ILLINOIS—​CHICAGO,Yes,2021,The University of Illinois-Chicago has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,22696,72.7%,1030-1260,21-28,
280,UNIVERSITY OF AKRON,Yes,2021,The University of Akron has adopted a test optional policy for first year applicants both domestic and international in the 2020-21 admission cycle.,14553,73.0%,990-1230,19-25,
281,ST. JOHN'S UNIVERSITY (NY),Yes,All / Permanent Policy,St. John's University offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students some international students students applying for several specific majors and prospective student athletes are not eligible for test optional admission.,27276,73.1%,1070-1270,23-29,
282,UNIVERSITY OF CINCINNATI,Yes,2021 2022,The University of Cincinnati has adopted a two-year test optional policy beginning with the 2020-2021 admission cycle. However standardized test scores are still required for admission into some programs.,23296,73.1%,1160-1370,24-29,
283,SIMMONS UNIVERSITY,Yes,2021,Simmons University State has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.,2933,73.1%,1110-1290,23-29,MA
284,WAYNE STATE UNIVERSITY,Yes,2021,WSU has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,15716,73.1%,1010-1230,21-27,MI
285,BUTLER UNIVERSITY,Yes,All / Permanent Policy,Butler University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants who major in Pre-Pharmacy Health Sciences and Healthcare and Business programs students who attend secondary schools that do not provide letter grades homeschooled students and transfer applicants who have completed fewer than 20 college credits are not eligible for test optional admission.,14891,73.2%,1150-1330,24-30,IN
286,POINT LOMA NAZARENE UNIVERSITY,Yes,2021,PLNU has adopted a one-year test optional policy for Fall 2021 applicants.,3277,73.7%,1140-1310,24-29,CA
287,UNIVERSITY OF NORTH TEXAS,Yes*,2021,University of North Texas requires either the SAT or ACT. However they will waive this requirement for students with a 3.0+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,21540,73.7%,1060-1250,20-26,TX
288,UNIVERSITY OF NORTH GEORGIA,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,6498,73.7%,1108-1273,22-27,GA
289,XAVIER UNIVERSITY,Yes,All / Permanent Policy,Xavier University offers a test optional policy which allows students to be considered for admission without test scores. However homeschooled students are not eligible for test optional admission.,15100,73.8%,1070-1250,22-28,OH
290,WHEATON COLLEGE (MA),Yes,All / Permanent Policy,Wheaton College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However Wheaton encourages students whose first language is not English to submit their SAT or ACT scores along with the required English proficiency testing.,3460,73.9%,1150-1340,27-32,
291,EASTERN MICHIGAN,Yes*,2021,Eastern Michigan University has adopted a one-year test optional policy for students with a 2.5+ GPA applying in the 2020-21 admission cycle.,14323,74.1%,970-1190,19-25,
292,UNIVERSITY OF WASHINGTON--BOTHELL,Yes,2021,The University of Washington--Bothell has adopted a one-year test optional policy for firstyear applicants both domestic and international in the 2020-21 admission cycle.,4242,74.1%,1038-1250,19-28,
293,ADELPHI UNIVERSITY,Yes,2021,Adelphi University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,13006,74.2%,1080-1270,22-27,NY
294,BALDWIN WALLACE UNIVERSITY,Yes,All / Permanent Policy,Baldwin Wallace University offers a test optional policy which allows students to be considered for admission without test scores. However home schooled students are not eligible for test optional admission.,3926,74.2%,1030-1250,21-27,OH
295,MICHIGAN TECHNOLOGICAL UNIVERSITY,Yes,2021,Michigan Technological University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. However homeschooled students and students applying for merit scholarships must submit test scores.,5978,74.3%,1170-1370,25-30,MI
296,DREXEL UNIVERSITY,Yes,2021,Drexel University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,31824,74.7%,1190-1390,25-31,PA
297,UNIVERSITY OF REDLANDS,Yes,All / Permanent Policy,University of Redlands offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,4713,75.0%,1100-1250,23-28,CA
298,LOYOLA UNIVERSITY NEW ORLEANS,Yes (TB),All / Permanent Policy,Starting with the Fall 2021 application cycle Loyola will not require a standardized test score for its university admission application and will not consider a test score should a student choose to submit.,5857,75.0%,1050-1260,22-28,LA
299,CALIFORNIA STATE UNIVERSITY--MONTEREY BAY,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,12327,75.3%,960-1170,17-23,
300,WHITTIER COLLEGE,Yes*,All / Permanent Policy,Whittier College offers a test optional policy which allows students to be considered for admission without test scores. Students with a GPA below 3.0 may be asked to submit standardized test scores.,6220,75.9%,1030-1213,20-25,CA
301,KALAMAZOO COLLEGE,Yes,All / Permanent Policy,Kalamazoo College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3576,76.0%,1170-1370,25-31,MI
302,TOWSON UNIVERSITY,Yes,2021,Towson has adopted a one-year test optional policy for applicants for Fall 2021 admission.,12678,76.3%,1060-1220,20-25,MD
303,CENTRE COLLEGE,Yes,2021 2022 2023,Centre College has adopted a three-year test optional policy for first year students beginning with the 2020-21 admission cycle. After a three-year pilot period Centre will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,2212,76.4%,1130-1380,26-32,KY
304,UNIVERSITY OF TEXAS SAN ANTONIO,Yes,2021,University of Texas San Antonio has adopted a one-year test optional policy for first-year applicants entering through Spring 2022. However it still recommends submitting test scores as this can affect scholarship eligibility and admission into certain colleges or majors that require the SAT/ACT.,17122,76.6%,1030-1220,19-25,
305,BALL STATE,Yes,All / Permanent Policy,Ball State University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students whose high schools do not provide grades are not eligible for test optional admission.,23305,76.7%,--,--,
306,JAMES MADISON UNIVERSITY,Yes,All / Permanent Policy,James Madison University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,23578,76.8%,1120-1290,23-28,VA
307,APPALACHIAN STATE UNIVERSITY,Yes,2021,Appalachian State has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,16664,76.8%,1100-1270,22-28,NC
308,INDIANA UNIVERSITY—​BLOOMINGTON,Yes,All / Permanent Policy,Indiana University--Bloomington offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students who attend schools with nontraditional grading systems are not eligible for test optional admission.,44169,76.9%,1150-1360,24-31,
309,HIGH POINT UNIVERSITY,Yes,All / Permanent Policy,High Point University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However students seeking some merit scholarship or those who wish to be placed in the Honors Program need to submit test scores.,10098,76.9%,1090-1250,22-27,NC
310,VIRGINIA COMMONWEALTH UNIVERSITY,Yes*,All / Permanent Policy,Virginia Commonwealth University requires either the SAT or ACT. However they will waive the requirement for students with a 3.3+ GPA. Applicants who wish to qualify for merit scholarships homeschooled applicants applicants to the VCU Honors College College of Engineering or School of Education and non-native English speakers are not eligible for TO. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,18622,77.1%,1070-1260,21-28,VA
311,UNIVERSITY OF ARKANSAS—​FAYETTEVILLE,Yes*,2021,The University of Arkansas requires either the SAT or the ACT. Fall 2021 applicants may apply test-optional with a 3.2+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,17913,77.1%,1120-1300,23-30,
312,JOHN BROWN UNIVERSITY,Yes,2021,John Brown University has adopted a one-year test optional policy for students entering in Fall 2021.,1094,77.1%,1060-1365,23-30,AR
313,UNIVERSITY OF IDAHO,Yes,2021,University of Idaho has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,8071,77.8%,1010-1240,20-27,ID
314,UNIVERSITY OF MISSOURI,Yes,2021,Mizzou has adopted a one-year test optional policy for students applying to the Fall 2021 term.,18948,77.8%,1090-1290,23-29,
315,WILLAMETTE UNIVERSITY,Yes,All / Permanent Policy,Willamette University offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3972,77.9%,1140-1340,31-35,OR
316,UNIVERSITY OF NEBRASKA—​LINCOLN,Yes*,All / Permanent Policy,The University of Nebraska-Lincoln requires either the SAT or the ACT. However it will waive this requriement for students with a 3.0+ GPA or who rank in the top half of their class. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,16829,78.2%,1120-1360,22-28,
317,CARROLL COLLEGE,Yes*,All / Permanent Policy,Carroll College requires either the SAT or ACT however it will waive this requirement for students with a 3.0+ unweighted GPA. Students who are homeschooled wish to apply to Direct Entry Nursing or wish to participate in intercollegiate atheletics are not elligible for test optional admission. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,2709,78.3%,1070-1270,22-28,MT
318,COLLEGE OF CHARLESTON,Yes,2021,The College of Charleston has adopted a one-year test optional policy for applicants in the 2020-21 admissions cycle. However home-schooled students are required to submit scores.,11783,78.3%,1080-1260,22-28,SC
319,UNIVERSITY OF COLORADO—​BOULDER,Yes,2021,University of Colorado--Boulder has adopted a one-year test optional policy for first-year students applying in the 2020-21 admission cycle.,40740,78.4%,1140-1350,25-31,
320,ELON UNIVERSITY,Yes,2021 2022 2023,Elon has adopted a three-year test optional policy for all first-year and transfer applicants beginning with the 2020-21 admission cycle. After a three-year period Elon will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,10500,78.4%,1160-1320,25-30,NC
321,SEATTLE UNIVERSITY,Yes,All / Permanent Policy,Seattle University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled applicants are not elligible for test optional admission.,7968,78.5%,1160-1330,24-30,WA
322,UNIVERSITY OF TEXAS—​DALLAS,Yes,2021,University of Texas-Dallas has adopted a test optional policy for students applying for the Summer and Fall 2021 terms.,14327,78.6%,1240-1460,26-33,
323,EAST CAROLINA,Yes,2021,ECU has adopted a one-year test optional policy for students applying to the Spring and Fall 2021 semesters.,19234,78.7%,1030-1190,19-24,
324,UNIVERSITY OF TENNESSEE,Yes,2021,The University of Tennessee has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. However home-schooled students students attending a school not using alpha or numerical grades and student-athletes are not eligible for TO admission.,21764,78.8%,1150-1330,24-30,
325,UNIVERSITY OF TEXAS ARLINGTON,Yes,2021,University of Texas Arlington has adopted a one-year test optional policy for first-year applicants entering in the Fall of 2021.,12335,79.5%,1060-1260,20-26,
326,PACIFIC LUTHERAN UNIVERSITY,Yes,All / Permanent Policy,Pacific Lutheran University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants from schools with written evaluations rather than grades and homeschooled students are not eligible for test optional admission. Applicants to the nursing program students interested in teaching and international applicants strongly encouraged to submit scores.,3740,79.8%,1070-1270,20-28,WA
327,WESTERN MICHIGAN,Yes,2021,WMU has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,17698,79.9%,1000-1210,19-26,
328,LOYOLA UNIVERSITY MARYLAND,Yes,All / Permanent Policy,Loyola University Maryland offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,10077,80.2%,1143-1320,25-30,MD
329,MIAMI UNIVERSITY—​OXFORD,Yes,2021,Miami University-Oxford has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,28920,80.4%,1210-1410,26-31,
330,GOUCHER COLLEGE,Yes,All / Permanent Policy,Goucher College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,3154,80.4%,1040-1290,22-29,MD
331,UNIVERSITY OF OKLAHOMA,Yes,2021,University of Oklahoma has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,15673,80.4%,1130-1310,23-29,
332,AUBURN UNIVERSITY,Yes,2021,Auburn University has adopted a one-year test optional policy however students who choose not to submit ACT/SAT scores must submit a graded writing assignment an expanded resume or an AP/IB score report.,20205,80.7%,1150-1320,25-31,AL
333,UNIVERSITY OF NEVADA—​LAS VEGAS,Yes*,All / Permanent Policy,UNLV requires either the SAT or ACT however they will waive the requirement for students with a 3.0+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,12720,80.7%,1030-1250,19-25,
334,BOISE STATE,Yes (TB),2021,Boise State has adopted a one-year test blind policy for students applying to the Spring and Fall 2021 semesters. However test scores are required for scholarship eligibility.,10788,80.8%,960-1180,21-26,
335,ST. MARY'S COLLEGE OF CALIFORNIA,Yes,All / Permanent Policy,St. Mary's offers a test optional policy which allows students to be considered for admission without test scores. However student-athletes homeschooled students and students attending schools that don't give grades must provide test scores.,6069,81.0%,1070-1240,22-28,
336,SIENA COLLEGE,Yes,All / Permanent Policy,Siena College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores. However applicants must meet certain academic requirements to apply test optional. Additionally applicants to select programs are not eligible for test optional admission.,7728,81.1%,1070-1280,22-28,NY
337,UNIVERSITY OF NORTH DAKOTA,Yes,2021,University of North Dakota has adopted a one-year test optional policy for first-year applicants both domestic and international entering through Fall 2022.,4964,81.1%,1010-1250,20-26,ND
338,TEXAS STATE UNIVERSITY,Yes,2021,"Texas State University has adopted a one-year ""holistic review"" policy for applicants whose test dates have been affected by COVID-19 cancellations.",23583,81.1%,1010-1180,19.3-25.3,TX
339,COLORADO STATE UNIVERSITY,Yes,2021,Colorado State University has adopted a one-year test optional policy for first-year students applying in the 2020-21 admission cycle.,28319,81.4%,1070-1290,23-29,
340,UNIVERSITY OF MEMPHIS,Yes,2021,UM has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,15381,81.4%,1010-1230,19-26,TN
341,WEST VIRGINIA UNIVERSITY,Yes,2021,WVU has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,18639,81.6%,1050-1240,21-27,WV
342,UNIVERSITY OF OREGON,Yes,All / Permanent Policy,The University of Oregon offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants from nonaccredited schools and homeschooled students are not eligible for test optional admission and must submit two Subject Tests: Math I or II and a second one.,27358,81.6%,1100-1310,22-28,OR
343,UNIVERSITY OF ST. THOMAS (MN),Yes,All / Permanent Policy,The University of St. Thomas offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,6819,81.9%,1130-1380,24-29,
344,ST. MARY'S COLLEGE (IN),Yes,All / Permanent Policy,Saint Mary's College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled students and international students are not eligible for test optional admission.,1862,81.9%,1050-1260,22-28,
345,ILLINOIS STATE,Yes,All / Permanent Policy,Illinois State offers a test optional policy which allows students to be considered for admission without standardized test scores.,16151,81.9%,1020-1220,20-26,
346,OHIO UNIVERSITY,Yes,All / Permanent Policy,Ohio University has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores.,24179,82.1%,1050-1260,21-26,
347,CALIFORNIA STATE UNIVERSITY--SACRAMENTO,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,27576,82.3%,940-1140,16-22,
348,UNIVERSITY OF NORTH CAROLINA—​GREENSBORO,Yes,2021,The UNC System has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,9972,82.4%,1000-1160,19-24,
349,UNIVERSITY OF IOWA,Yes,2021,University of Iowa has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,25928,82.6%,1130-1340,22-29,IA
350,ST. MICHAEL'S COLLEGE,Yes,All / Permanent Policy,St. Michael's College has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled applicants are not eligible for test optional admission.,4040,82.6%,1140-1320,25-29,
351,UNIVERSITY OF ALASKA ANCHORAGE,Yes,All / Permanent Policy,University of Alaska Anchorage offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,3673,83.0%,1020-1220,17-24,AK
352,MARQUETTE UNIVERSITY,Yes,All / Permanent Policy,Marquette University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores to both domestic and international applicants.,15078,83.0%,1120-1320,24-29,WI
353,COLLEGE OF ST. BENEDICT,Yes,All / Permanent Policy,The College of Saint Benedict offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students students who attend schools with nontraditional grading systems and applicants to the Nursing Early Admission Program are not eligible for test optional admission.,1931,83.4%,990-1210,22-27,
354,OREGON STATE UNIVERSITY,Yes,All / Permanent Policy,Oregon State University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,15786,83.6%,1080-1320,21-28,OR
355,THE CATHOLIC UNIVERSITY OF AMERICA,Yes (TB),All / Permanent Policy,The Catholic University of America has adopted a test blind policy which means they will not consider SAT or ACT scores for admission.,6096,83.7%,1140-1320,24-30,DC
356,UNIVERSITY OF PUGET SOUND,Yes,All / Permanent Policy,Puget Sound offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However students who attend secondary schools that do not provide letter grades and homeschooled students are not eligible for test optional admission.,5182,83.8%,1150-1370,25-30,WA
357,UNIVERSITY OF NEW HAMPSHIRE,Yes,All / Permanent Policy,The University of New Hampshire offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However all Division 1 athletic recruits are required to submit standardized test scores.,18040,84.0%,1070-1270,22-28,
358,MISSOURI UNIVERSITY OF SCIENCE & TECHNOLOGY,Yes,2021,Missouri S&T has adopted a one-year test optional policy for students applying to the Fall 2021 term. Students who apply without test scores will be required to submit additional information.,4333,84.2%,1180-1380,25-31,
359,ST. MARY'S COLLEGE OF MARYLAND,Yes,All / Permanent Policy,Saint Mary's College of Maryland has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled applicants and applicants with non-traditional academic transcripts are not eligible for test optional admission.,1621,84.3%,1060-1290,21-29,MD
360,UNIVERSITY OF ARIZONA,Yes,All / Permanent Policy,University of Arizona offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants to the UA Honors College the College of Fine Arts the College of Nursing the College of Architecture Planning and Landscape Architecture and College of Engineering and homeschooled students are not eligible for test optional admission.,40854,84.6%,1120-1350,21-29,AZ
361,SUSQUEHANNA UNIVERSITY,Yes,All / Permanent Policy,Susquehanna University offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,4863,84.8%,1100-1290,22-28,PA
362,ARIZONA STATE UNIVERSITY—​TEMPE,Yes*,All / Permanent Policy,ASU requires either the SAT or ACT however it will waive this requirement for students with a 3.0+ GPA or who rank in the top 25% of their class. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,26869,84.8%,1130-1360,22-29,
363,WHEATON COLLEGE (IL),Yes,2021,Wheaton has adopted a one-year test optional policy for students applying in the 2020-21 admissions cycle.,1889,84.8%,1220-1440,26-32,
364,NORTHERN ARIZONA,Yes,All / Permanent Policy,Northern Arizona University offers a test optional policy which allows first-year applicants to be considered for admission without SAT or ACT scores. However scores required to receive merit-based scholarships.,36855,85.0%,1030-1230,19-25,
365,WASHINGTON AND JEFFERSON COLLEGE,Yes,All / Permanent Policy,Washington and Jefferson College has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores.,2722,85.2%,1090-1280,22-28,
366,KENT STATE,Yes,All / Permanent Policy,Kent State requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,16308,85.5%,1040-1230,20-26,
367,MILLS COLLEGE,Yes,All / Permanent Policy,Mills College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students who graduate from schools without traditional grades are not eligible for test optional admission.,1003,85.5%,1008-1240,21-29,CA
368,HOPE COLLEGE,Yes,2021,Hope College has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. However students who wish to be considered for merit scholarships must submit test scores.,3748,85.7%,1130-1330,23-31,MI
369,VALPARAISO UNIVERSITY,Yes,2021 2022,Valparaiso has adopted a two-year test optional policy. They will reevaluate their policy after the 2022 admission cycle.,5491,85.8%,1070-1290,22-29,IN
370,GEORGE MASON UNIVERSITY,Yes,All / Permanent Policy,George Mason University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However students who major in computer science and engineering majors home-schooled applicants and students seeking to become a member of one of George Mason’s NCAA intercollegiate athletics teams are not eligible for test optional admission. The Volgenau School of Engineering entering classes of 2020 and 2021 are exempt from the 550 SAT Math/24 ACT Math requirement.,19554,86.7%,1110-1320,24-30,VA
371,OLD DOMINION,Yes,All / Permanent Policy,ODU offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,13335,87.0%,990-1200,18-24,
372,MISSOURI STATE,Yes*,2021,Missouri State University requires either the SAT or ACT however it will waive the requirement for students with a 3.25+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,7581,87.9%,1040-1240,21-27,
373,UNIVERSITY OF WISCONSIN MILWAUKEE,Yes,2021,The University of Wisconsin--Milwaukee has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,8280,88.5%,1000-1398,20-25,
374,TRANSYLVANIA UNIVERSITY,Yes,All / Permanent Policy,Transylvania University has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However test optional applicants are strongly encouraged to visit the Transylvania campus for an in-depth interview.,1702,88.7%,1100-1310,24-30,KY
